ID,Protected_Area,Violation_Type,Year,Season,Area_m2,Distance_To_Road_km,Distance_To_Urban_km,Fine_Amount,Risk_Level
1,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2018,Summer,5860,12.0,8.6,113694,High
2,الإمام تركي,دخول المحمية بدون تصريح,2020,Spring,97,2.9,32.9,5000,Low
3,الملك عبدالعزيز,سير المركبات في غير المسارات المخصصة,2011,Winter,423,12.4,31.0,7149,High
4,روضة التنهات,دخول المحمية بدون تصريح,2014,Spring,68,1.0,48.7,5000,Low
5,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2002,Winter,455,10.3,30.0,100,Low
6,الإمام تركي,حرق النباتات أو الأشجار,2017,Spring,3388,19.0,48.3,20000,Medium
7,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2011,Winter,3112,4.9,34.5,30000,Medium
8,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2001,Spring,44,5.2,33.5,100,Low
9,الملك خالد,قطع الأشجار أو الاحتطاب,2001,Spring,4343,19.4,39.0,20000,Medium
10,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2007,Winter,37606,4.0,3.2,21534,High
11,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2012,Winter,347,7.2,14.8,1078,Low
12,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2011,Autumn,310,19.7,38.8,100,Low
13,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2004,Spring,148,14.3,39.7,100,Low
14,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2015,Summer,3599,12.5,17.2,30000,Medium
15,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2002,Winter,225,11.9,14.5,200,Low
16,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2013,Summer,13110,14.5,12.6,1531101,High
17,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2006,Winter,706,8.8,10.9,22518,Medium
18,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2010,Winter,105,5.1,21.1,6219,Low
19,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2020,Spring,169,12.5,15.5,3357,Low
